run_id,task_category,model_slug,is_done,done_reason,total_duration_s,load_duration_s,input_token_count,input_token_duration_s,output_token_count,output_token_duration_s,is_thinking,output_char_count,thinking_char_count,generation_limit_reached,final_content_empty,generation_failure,reasoning_limit_failure,truncated_response,latency_s,cc_duration_s,carbon_emissions_grams,emissions_rate_grams_per_s,mean_cpu_power_w,mean_gpu_power_w,mean_ram_power_w,cpu_energy_kwh,gpu_energy_kwh,ram_energy_kwh,total_energy_consumed_kwh,cpu_util_percent,gpu_util_percent,ram_util_percent,avg_ram_used_gb
M1S__UP011,summarization,granite4.1:8b,True,stop,1.810331628,0.2884277,3195,0.044468,183,1.433451,False,771,0,False,False,False,False,False,1.814007913984824,3.3252971500041895,0.06874924822567015,0.020674617973790263,12.5018432,167.96096349464182,20.0,9.796664638302725e-06,0.0001550004017785156,1.5670838099969034e-05,0.00018046790451678736,0.0,95.0,58.1,35.54547119140625
M1S__UP012,summarization,granite4.1:8b,True,stop,0.425048706,0.262963556,3051,0.020975,12,0.098981,False,47,0,False,False,False,False,False,0.42780734901316464,1.9385315960389562,0.01397615224252276,0.007209659244698686,12.500000112500002,44.15364151426011,20.0,4.9812435760266014e-06,2.373974121372413e-05,7.966644144552345e-06,3.668762893430308e-05,0,0,0,0
M1G__UP012,summarization,granite4.1:8b,True,stop,1.343253574,0.274931719,2990,0.023658,128,1.001041,False,604,0,False,False,False,False,False,1.3463908290141262,2.8570305469911546,0.05028813418714526,0.017601538856525555,12.500599006250003,139.68847303306464,20.0,8.172469023226472e-06,0.00011076008860744224,1.3074619655445632e-05,0.00013200717728611435,0.0,94.0,58.1,35.54975891113281
M1G__UP013,summarization,granite4.1:8b,True,stop,2.255059698,0.306642597,3028,0.026043,240,1.881672,False,1280,0,False,False,False,False,False,2.2587131329928525,3.7701023049885407,0.08473924754318657,0.02247664405049723,12.501413075000002,184.3963442108718,20.0,1.1341663047150334e-05,0.0001929576543657774,1.814259764990614e-05,0.00022244191506283386,0.0,94.0,58.1,35.56029510498047
M1S__UP013,summarization,granite4.1:8b,True,stop,0.959163777,0.283345718,3089,0.033229,76,0.598638,False,398,0,False,False,False,False,False,0.9628379050409421,2.474860047979746,0.03502090990990179,0.014150662757067705,12.500000112500002,107.99005139210676,20.0,6.842106172811834e-06,7.414533709493298e-05,1.0943019811141616e-05,9.193046307888643e-05,0,0,0,0
M1S__UP014,summarization,granite4.1:8b,True,stop,2.213174013,0.27282174,4897,0.229545,205,1.651561,False,898,0,False,False,False,False,False,2.217025078018196,3.7287226039916277,0.08841552625054777,0.02371201498226182,12.501331737500001,196.1347246836851,20.0,1.1197639820215746e-05,0.00020298238460814133,1.791218255562449e-05,0.00023209220698398156,0.0,47.5,58.1,35.56224250793457
M1G__UP014,summarization,granite4.1:8b,True,stop,2.544126153,0.286530788,4836,0.229757,244,1.96785,False,965,0,False,False,False,False,False,2.5480542959994636,4.059258844004944,0.10003528095990785,0.024643730494705553,12.502457637500001,204.5680892101344,20.0,1.2347108815466682e-05,0.00023049712884049,1.9750016077887267e-05,0.00026259425373384394,0.0,95.0,58.1,35.56521224975586
M1G__UP015,summarization,granite4.1:8b,True,stop,4.54964361,0.291492394,3108,0.03397,534,4.186444,False,2771,0,False,False,False,False,False,4.552921928989235,6.064864829008002,0.17667364100308042,0.02913068072977613,12.50295344,245.6252154116408,20.0,1.9310953812506963e-05,0.00041357171974620854,3.088853264440937e-05,0.00046377120620312486,0.0,94.0,58.1,35.56124019622803
M1S__UP015,summarization,granite4.1:8b,True,stop,1.434593359,0.283596647,3169,0.037771,137,1.069196999,False,653,0,False,False,False,False,False,1.4383724039653316,2.949783417978324,0.05461220651889685,0.018513971631288817,12.503093581249999,148.15600212009505,20.0,8.495043565515052e-06,0.00012127787480054053,1.3585019733161768e-05,0.00014335793809921736,0.0,94.0,58.1,35.54956817626953
M1S__UP016,summarization,granite4.1:8b,True,stop,0.801128897,0.284418137,3253,0.044205,54,0.425688,False,248,0,False,False,False,False,False,0.8048805230064318,2.315731446025893,0.028860548519691737,0.012462821873935478,12.500000112500002,92.45911509058934,20.0,6.2919727477660045e-06,5.9404214190372784e-05,1.0063226422385519e-05,7.575941336052431e-05,0,0,0,0
