"run_id","task_category","model_slug","is_done","done_reason","total_duration_s","load_duration_s","input_token_count","input_token_duration_s","output_token_count","output_token_duration_s","is_thinking","output_char_count","thinking_char_count","generation_limit_reached","final_content_empty","generation_failure","reasoning_limit_failure","truncated_response","latency_s","cc_duration_s","carbon_emissions_grams","emissions_rate_grams_per_s","mean_cpu_power_w","mean_gpu_power_w","mean_ram_power_w","cpu_energy_kwh","gpu_energy_kwh","ram_energy_kwh","total_energy_consumed_kwh","cpu_util_percent","gpu_util_percent","ram_util_percent","avg_ram_used_gb","prompt_id","model_number_from_run_id","condition","model","token_count","energy","carbon","latency","log_token_count","log_energy","log_carbon","log_latency"
"M1G__UP014","summarization","granite4.1:8b","True","stop",2.544126153,0.286530788,4836,0.229757,244,1.96785,"False",965,0,FALSE,FALSE,FALSE,FALSE,FALSE,2.54805429599946,4.05925884400494,0.100035280959908,0.0246437304947056,12.5024576375,204.568089210134,20,1.23471088154667e-05,0.00023049712884049,1.97500160778873e-05,0.000262594253733844,0,95,58.1,35.5652122497559,"UP014",1,"General","granite4.1:8b",244,0.000262594253733844,0.100035280959908,2.54805429599946,5.4971682252932,-8.24490047853666,-2.30223234561764,0.935330046744834
"M1G__UP015","summarization","granite4.1:8b","True","stop",4.54964361,0.291492394,3108,0.03397,534,4.186444,"False",2771,0,FALSE,FALSE,FALSE,FALSE,FALSE,4.55292192898924,6.064864829008,0.17667364100308,0.0291306807297761,12.50295344,245.625215411641,20,1.9310953812507e-05,0.000413571719746209,3.08885326444094e-05,0.000463771206203125,0,94,58.1,35.561240196228,"UP015",1,"General","granite4.1:8b",534,0.000463771206203125,0.17667364100308,4.55292192898924,6.2803958389602,-7.67611921742638,-1.73345108450736,1.51576920904754
"M1S__UP015","summarization","granite4.1:8b","True","stop",1.434593359,0.283596647,3169,0.037771,137,1.069196999,"False",653,0,FALSE,FALSE,FALSE,FALSE,FALSE,1.43837240396533,2.94978341797832,0.0546122065188969,0.0185139716312888,12.50309358125,148.156002120095,20,8.49504356551505e-06,0.000121277874800541,1.35850197331618e-05,0.000143357938099217,0,94,58.1,35.5495681762695,"UP015",1,"Sustainability","granite4.1:8b",137,0.000143357938099217,0.0546122065188969,1.43837240396533,4.91998092582813,-8.85016599151954,-2.90749785860052,0.363512199321294
"M1S__UP016","summarization","granite4.1:8b","True","stop",0.801128897,0.284418137,3253,0.044205,54,0.425688,"False",248,0,FALSE,FALSE,FALSE,FALSE,FALSE,0.804880523006432,2.31573144602589,0.0288605485196917,0.0124628218739355,12.5000001125,92.4591150905893,20,6.291972747766e-06,5.94042141903728e-05,1.00632264223855e-05,7.57594133605243e-05,0,0,0,0,"UP016",1,"Sustainability","granite4.1:8b",54,7.57594133605243e-05,0.0288605485196917,0.804880523006432,3.98898404656427,-9.48794785250972,-3.5452797195907,-0.217061431204258
"M1G__UP016","summarization","granite4.1:8b","True","stop",1.657739428,0.293836004,3192,0.044345,163,1.27795,"False",757,0,FALSE,FALSE,FALSE,FALSE,FALSE,1.66091633599717,3.17153224500362,0.062830093162399,0.0198106430295264,12.50184325625,160.004446599871,20,9.26595865788399e-06,0.000140841501561795,1.48225651442772e-05,0.000164930025363956,0,94,58,35.542423248291,"UP016",1,"General","granite4.1:8b",163,0.000164930025363956,0.062830093162399,1.66091633599717,5.09375020080676,-8.70998926271804,-2.76732112979902,0.507369459704028
"M1G__UP017","summarization","granite4.1:8b","True","stop",2.186189294,0.284741664,3503,0.079424,226,1.774485,"False",988,0,FALSE,FALSE,FALSE,FALSE,FALSE,2.18999458098551,3.70411528396653,0.0843752471152675,0.0227787853905332,12.5014300625,187.490010617817,20,1.11031044526086e-05,0.000192622931876052,1.77603716389664e-05,0.000221486407967627,0,94,58.1,35.5494174957275,"UP017",1,"General","granite4.1:8b",226,0.000221486407967627,0.0843752471152675,2.18999458098551,5.42053499927229,-8.41514933393921,-2.47248120102019,0.783899069389509
"M1S__UP017","summarization","granite4.1:8b","True","stop",1.156126705,0.288803137,3564,0.088029,93,0.7308,"False",399,0,FALSE,FALSE,FALSE,FALSE,FALSE,1.16001976199914,2.67169353802456,0.0437319250778963,0.016368615806973,12.500074925,128.47012634783,20,7.52593203028688e-06,9.52334095192242e-05,1.20376792613469e-05,0.000114797020810858,0,39,58.1,35.5497856140137,"UP017",1,"Sustainability","granite4.1:8b",93,0.000114797020810858,0.0437319250778963,1.16001976199914,4.53259949315326,-9.07234502554047,-3.12967689262146,0.148437041179312
"M1S__UP018","summarization","granite4.1:8b","True","stop",1.310990635,0.284721159,3177,0.033881,121,0.949942,"False",482,0,FALSE,FALSE,FALSE,FALSE,FALSE,1.31480113603175,2.82658366899705,0.0490319305942301,0.0173467112019465,12.50052138125,137.376473882635,20,8.06416314132155e-06,0.000107746752864735,1.28987062389367e-05,0.000128709622244993,0,46,58.1,35.5518493652344,"UP018",1,"Sustainability","granite4.1:8b",121,0.000128709622244993,0.0490319305942301,1.31480113603175,4.79579054559674,-8.95795168123859,-3.01528354831957,0.273685426841435
"M1G__UP018","summarization","granite4.1:8b","True","stop",1.190533031,0.288004487,3116,0.035012,105,0.821099,"False",407,0,FALSE,FALSE,FALSE,FALSE,FALSE,1.19439709797734,2.70644089498091,0.0442310127044276,0.0163428703676677,12.5001236375,128.148530876309,20,7.64614367244133e-06,9.623174365192e-05,1.22292466943489e-05,0.00011610713401871,0,0,58,35.5415992736816,"UP018",1,"General","granite4.1:8b",105,0.00011610713401871,0.0442310127044276,1.19439709797734,4.65396035015752,-9.06099722395865,-3.11832909103963,0.177641537549122
"M1G__UP019","summarization","granite4.1:8b","True","stop",3.808400071,0.290414471,3303,0.053429,435,3.416953,"False",2308,0,FALSE,FALSE,FALSE,FALSE,FALSE,3.81234368198784,5.32892871403601,0.148569408823888,0.0278797891277034,12.50285395625,234.413529997546,20,1.67397106977925e-05,0.000346483054963542,2.67743699834682e-05,0.000389997135644803,0,94.3333333333333,58,35.5430717468262,"UP019",1,"General","granite4.1:8b",435,0.000389997135644803,0.148569408823888,3.81234368198784,6.07534603108868,-7.84937116336806,-1.90670303044904,1.33824413964714
"M1S__UP019","summarization","granite4.1:8b","True","stop",3.277497837,0.302897656,3364,0.060087,365,2.865169,"False",1904,0,FALSE,FALSE,FALSE,FALSE,FALSE,3.28146776399808,4.79285425000126,0.127293823375269,0.0265590849910021,12.50209638125,222.048580576491,20,1.48925946737746e-05,0.000295433569680092,2.38222104335566e-05,0.000334148374787424,0,94,58,35.5355644226074,"UP019",1,"Sustainability","granite4.1:8b",365,0.000334148374787424,0.127293823375269,3.28146776399808,5.89989735358249,-8.00392542774063,-2.06125729482162,1.1882908113265
"M1S__UP020","summarization","granite4.1:8b","True","stop",0.951917974,0.306707215,3208,0.037022,72,0.567506,"False",369,0,FALSE,FALSE,FALSE,FALSE,FALSE,0.955691665003542,2.46735040703788,0.0346544157812104,0.0140451942627857,12.5000001125,107.01007697116,20,6.81644675580131e-06,7.32497808222377e-05,1.09021824002007e-05,9.09684099782397e-05,0,0,0,0,"UP020",1,"Sustainability","granite4.1:8b",72,9.09684099782397e-05,0.0346544157812104,0.955691665003542,4.27666611901606,-9.3049982548118,-3.36233012189279,-0.0453199441004023
"M1G__UP020","summarization","granite4.1:8b","True","stop",1.714488479,0.286510609,3147,0.039202,172,1.344822,"False",852,0,FALSE,FALSE,FALSE,FALSE,FALSE,1.71764789597364,3.22891373600578,0.0650381521764964,0.0201424248196081,12.5018432,163.080443599258,20,9.46202398828788e-06,0.000146127894680603,1.5136297833265e-05,0.000170726216502156,0,95,58,35.5342597961426,"UP020",1,"General","granite4.1:8b",172,0.000170726216502156,0.0650381521764964,1.71764789597364,5.14749447681345,-8.67544935763566,-2.73278122471664,0.540955852599816
"M1G__UP021","open_qa","granite4.1:8b","True","stop",2.505457818,0.295433786,2942,0.017388,276,2.151208,"False",1361,0,FALSE,FALSE,FALSE,FALSE,FALSE,2.50863949302584,4.02411258796928,0.095987585070084,0.0238531062369015,12.5025764375,197.382427709954,20,1.22094626215508e-05,0.000220229065071464,1.95304579221152e-05,0.00025196898561513,0,94,58,35.5381622314453,"UP021",1,"General","granite4.1:8b",276,0.00025196898561513,0.095987585070084,2.50863949302584,5.62040086571715,-8.28620455098278,-2.34353641806376,0.919740571538746
"M1S__UP021","open_qa","granite4.1:8b","True","stop",0.914578435,0.290971466,3003,0.023845,71,0.556016,"False",343,0,FALSE,FALSE,FALSE,FALSE,FALSE,0.91812857898185,2.43458322802326,0.0329456887646327,0.0135323731739427,12.5,102.510596408528,20,6.68598380899413e-06,6.91033886166537e-05,1.06936011000976e-05,8.64829735257454e-05,0,0,0,0,"UP021",1,"Sustainability","granite4.1:8b",71,8.64829735257454e-05,0.0329456887646327,0.91812857898185,4.26267987704132,-9.35556300125421,-3.41289486833519,-0.0854178339193463
"M1S__UP022","open_qa","granite4.1:8b","True","stop",0.8991968,0.291359264,3003,0.01727,70,0.547806,"False",247,0,FALSE,FALSE,FALSE,FALSE,FALSE,0.902975087985396,2.41430916596437,0.032418303972464,0.0134275694386948,12.5000009,101.298069363567,20,6.6335023942541e-06,6.78539431717695e-05,1.0611134227818e-05,8.50985797938416e-05,0,0,0,0,"UP022",1,"Sustainability","granite4.1:8b",70,8.50985797938416e-05,0.032418303972464,0.902975087985396,4.24849524204936,-9.37170021119822,-3.4290320782792,-0.102060314001748
"M1G__UP022","open_qa","granite4.1:8b","True","stop",1.688947355,0.302630477,2942,0.018711,170,1.32557,"False",714,0,FALSE,FALSE,FALSE,FALSE,FALSE,1.69272069400176,3.20449697098229,0.0633070340783985,0.0197556854169822,12.5018432,159.461551521937,20,9.37696772576498e-06,0.000141806502334418,1.4998533033132e-05,0.000166182003093315,0,95,58.1,35.5486450195312,"UP022",1,"General","granite4.1:8b",170,0.000166182003093315,0.0633070340783985,1.69272069400176,5.13579843705026,-8.70242696604322,-2.7597588331242,0.526337112577875
